1, 3, 5, 7, 9, 10, 11, 13, 15, 17, 19
1, 3, 5, 7, 9, '>=10', '>1100', '>3300', '>5500', '>7700', '>10000'
x,y,region
1,0.0466926070039,CDR1
2,0.0194552529183,CDR1
3,0.011673151751,CDR1
4,0.0194552529183,CDR1
5,0.0155642023346,CDR1
6,0.00778210116732,CDR1
7,0.00389105058366,CDR1
8,0.00389105058366,CDR1
9,0.011673151751,CDR1
10.0,0.513618677043,CDR1
10.101010101,0,CDR1
10.202020202,0,CDR1
10.303030303,0,CDR1
10.404040404,0,CDR1
10.5050505051,0,CDR1
10.6060606061,0,CDR1
10.7070707071,0,CDR1
10.8080808081,0,CDR1
10.9090909091,0,CDR1
11.0101010101,0,CDR1
11.1111111111,0,CDR1
11.2121212121,0,CDR1
11.3131313131,0,CDR1
11.4141414141,0,CDR1
11.5151515152,0,CDR1
11.6161616162,0,CDR1
11.7171717172,0,CDR1
11.8181818182,0,CDR1
11.9191919192,0,CDR1
12.0202020202,0,CDR1
12.1212121212,0,CDR1
12.2222222222,0,CDR1
12.3232323232,0,CDR1
12.4242424242,0,CDR1
12.5252525253,0,CDR1
12.6262626263,0,CDR1
12.7272727273,0,CDR1
12.8282828283,0,CDR1
12.9292929293,0,CDR1
13.0303030303,0,CDR1
13.1313131313,0,CDR1
13.2323232323,0,CDR1
13.3333333333,0,CDR1
13.4343434343,0,CDR1
13.5353535354,0,CDR1
13.6363636364,0,CDR1
13.7373737374,0,CDR1
13.8383838384,0,CDR1
13.9393939394,0,CDR1
14.0404040404,0,CDR1
14.1414141414,0,CDR1
14.2424242424,0,CDR1
14.3434343434,0,CDR1
14.4444444444,0,CDR1
14.5454545455,0,CDR1
14.6464646465,0,CDR1
14.7474747475,0,CDR1
14.8484848485,0,CDR1
14.9494949495,0,CDR1
15.0505050505,0,CDR1
15.1515151515,0,CDR1
15.2525252525,0,CDR1
15.3535353535,0,CDR1
15.4545454545,0,CDR1
15.5555555556,0,CDR1
15.6565656566,0,CDR1
15.7575757576,0,CDR1
15.8585858586,0,CDR1
15.9595959596,0,CDR1
16.0606060606,0,CDR1
16.1616161616,0,CDR1
16.2626262626,0,CDR1
16.3636363636,0,CDR1
16.4646464646,0,CDR1
16.5656565657,0,CDR1
16.6666666667,0,CDR1
16.7676767677,0,CDR1
16.8686868687,0,CDR1
16.9696969697,0,CDR1
17.0707070707,0,CDR1
17.1717171717,0,CDR1
17.2727272727,0,CDR1
17.3737373737,0,CDR1
17.4747474747,0,CDR1
17.5757575758,0,CDR1
17.6767676768,0,CDR1
17.7777777778,0,CDR1
17.8787878788,0,CDR1
17.9797979798,0,CDR1
18.0808080808,0,CDR1
18.1818181818,0,CDR1
18.2828282828,0,CDR1
18.3838383838,0,CDR1
18.4848484848,0,CDR1
18.5858585859,0,CDR1
18.6868686869,0,CDR1
18.7878787879,0,CDR1
18.8888888889,0,CDR1
18.9898989899,0,CDR1
19.0909090909,0,CDR1
19.1919191919,0,CDR1
19.2929292929,0,CDR1
19.3939393939,0,CDR1
19.4949494949,0,CDR1
19.595959596,0,CDR1
19.696969697,0,CDR1
19.797979798,0,CDR1
19.898989899,0,CDR1
20.0,0,CDR1
1,0.0544747081712,CDR2
2,0.0233463035019,CDR2
3,0.0233463035019,CDR2
4,0.011673151751,CDR2
5,0.0155642023346,CDR2
6,0.011673151751,CDR2
7,0.0,CDR2
8,0.0,CDR2
9,0.011673151751,CDR2
10.0,0.529182879377,CDR2
10.101010101,0,CDR2
10.202020202,0,CDR2
10.303030303,0,CDR2
10.404040404,0,CDR2
10.5050505051,0,CDR2
10.6060606061,0,CDR2
10.7070707071,0,CDR2
10.8080808081,0,CDR2
10.9090909091,0,CDR2
11.0101010101,0,CDR2
11.1111111111,0,CDR2
11.2121212121,0,CDR2
11.3131313131,0,CDR2
11.4141414141,0,CDR2
11.5151515152,0,CDR2
11.6161616162,0,CDR2
11.7171717172,0,CDR2
11.8181818182,0,CDR2
11.9191919192,0,CDR2
12.0202020202,0,CDR2
12.1212121212,0,CDR2
12.2222222222,0,CDR2
12.3232323232,0,CDR2
12.4242424242,0,CDR2
12.5252525253,0,CDR2
12.6262626263,0,CDR2
12.7272727273,0,CDR2
12.8282828283,0,CDR2
12.9292929293,0,CDR2
13.0303030303,0,CDR2
13.1313131313,0,CDR2
13.2323232323,0,CDR2
13.3333333333,0,CDR2
13.4343434343,0,CDR2
13.5353535354,0,CDR2
13.6363636364,0,CDR2
13.7373737374,0,CDR2
13.8383838384,0,CDR2
13.9393939394,0,CDR2
14.0404040404,0,CDR2
14.1414141414,0,CDR2
14.2424242424,0,CDR2
14.3434343434,0,CDR2
14.4444444444,0,CDR2
14.5454545455,0,CDR2
14.6464646465,0,CDR2
14.7474747475,0,CDR2
14.8484848485,0,CDR2
14.9494949495,0,CDR2
15.0505050505,0,CDR2
15.1515151515,0,CDR2
15.2525252525,0,CDR2
15.3535353535,0,CDR2
15.4545454545,0,CDR2
15.5555555556,0,CDR2
15.6565656566,0,CDR2
15.7575757576,0,CDR2
15.8585858586,0,CDR2
15.9595959596,0,CDR2
16.0606060606,0,CDR2
16.1616161616,0,CDR2
16.2626262626,0,CDR2
16.3636363636,0,CDR2
16.4646464646,0,CDR2
16.5656565657,0,CDR2
16.6666666667,0,CDR2
16.7676767677,0,CDR2
16.8686868687,0,CDR2
16.9696969697,0,CDR2
17.0707070707,0,CDR2
17.1717171717,0,CDR2
17.2727272727,0,CDR2
17.3737373737,0,CDR2
17.4747474747,0,CDR2
17.5757575758,0,CDR2
17.6767676768,0,CDR2
17.7777777778,0,CDR2
17.8787878788,0,CDR2
17.9797979798,0,CDR2
18.0808080808,0,CDR2
18.1818181818,0,CDR2
18.2828282828,0,CDR2
18.3838383838,0,CDR2
18.4848484848,0,CDR2
18.5858585859,0,CDR2
18.6868686869,0,CDR2
18.7878787879,0,CDR2
18.8888888889,0,CDR2
18.9898989899,0,CDR2
19.0909090909,0,CDR2
19.1919191919,0,CDR2
19.2929292929,0,CDR2
19.3939393939,0,CDR2
19.4949494949,0,CDR2
19.595959596,0,CDR2
19.696969697,0,CDR2
19.797979798,0,CDR2
19.898989899,0,CDR2
20.0,0,CDR2
1,0.43579766537,CDR3
2,0.0972762645914,CDR3
3,0.0466926070039,CDR3
4,0.011673151751,CDR3
5,0.00778210116732,CDR3
6,0.00389105058366,CDR3
7,0.00389105058366,CDR3
8,0.00389105058366,CDR3
9,0.0,CDR3
10.0,0.0622568093385,CDR3
10.101010101,0,CDR3
10.202020202,0,CDR3
10.303030303,0,CDR3
10.404040404,0,CDR3
10.5050505051,0,CDR3
10.6060606061,0,CDR3
10.7070707071,0,CDR3
10.8080808081,0,CDR3
10.9090909091,0,CDR3
11.0101010101,0,CDR3
11.1111111111,0,CDR3
11.2121212121,0,CDR3
11.3131313131,0,CDR3
11.4141414141,0,CDR3
11.5151515152,0,CDR3
11.6161616162,0,CDR3
11.7171717172,0,CDR3
11.8181818182,0,CDR3
11.9191919192,0,CDR3
12.0202020202,0,CDR3
12.1212121212,0,CDR3
12.2222222222,0,CDR3
12.3232323232,0,CDR3
12.4242424242,0,CDR3
12.5252525253,0,CDR3
12.6262626263,0,CDR3
12.7272727273,0,CDR3
12.8282828283,0,CDR3
12.9292929293,0,CDR3
13.0303030303,0,CDR3
13.1313131313,0,CDR3
13.2323232323,0,CDR3
13.3333333333,0,CDR3
13.4343434343,0,CDR3
13.5353535354,0,CDR3
13.6363636364,0,CDR3
13.7373737374,0,CDR3
13.8383838384,0,CDR3
13.9393939394,0,CDR3
14.0404040404,0,CDR3
14.1414141414,0,CDR3
14.2424242424,0,CDR3
14.3434343434,0,CDR3
14.4444444444,0,CDR3
14.5454545455,0,CDR3
14.6464646465,0,CDR3
14.7474747475,0,CDR3
14.8484848485,0,CDR3
14.9494949495,0,CDR3
15.0505050505,0,CDR3
15.1515151515,0,CDR3
15.2525252525,0,CDR3
15.3535353535,0,CDR3
15.4545454545,0,CDR3
15.5555555556,0,CDR3
15.6565656566,0,CDR3
15.7575757576,0,CDR3
15.8585858586,0,CDR3
15.9595959596,0,CDR3
16.0606060606,0,CDR3
16.1616161616,0,CDR3
16.2626262626,0,CDR3
16.3636363636,0,CDR3
16.4646464646,0,CDR3
16.5656565657,0,CDR3
16.6666666667,0,CDR3
16.7676767677,0,CDR3
16.8686868687,0,CDR3
16.9696969697,0,CDR3
17.0707070707,0,CDR3
17.1717171717,0,CDR3
17.2727272727,0,CDR3
17.3737373737,0,CDR3
17.4747474747,0,CDR3
17.5757575758,0,CDR3
17.6767676768,0,CDR3
17.7777777778,0,CDR3
17.8787878788,0,CDR3
17.9797979798,0,CDR3
18.0808080808,0,CDR3
18.1818181818,0,CDR3
18.2828282828,0,CDR3
18.3838383838,0,CDR3
18.4848484848,0,CDR3
18.5858585859,0,CDR3
18.6868686869,0,CDR3
18.7878787879,0,CDR3
18.8888888889,0,CDR3
18.9898989899,0,CDR3
