vert,total=316.0
x,y,raw
1,35.4430379747,112
2,25.6329113924,81
0,13.6075949367,43
3,11.3924050633,36
5,5.69620253165,18
4,5.37974683544,17
6,1.58227848101,5
7,0.949367088608,3
9,0.316455696203,1
