vert,total=383.0
x,y,raw
IGHV3,55.091383812,211
IGHV1,21.1488250653,81
IGHV4,10.4438642298,40
IGHV2,10.182767624,39
IGHV6,1.82767624021,7
IGHV5,1.30548302872,5
