vert,total=354.0
x,y,raw
FR1,13.2768361582,47
CDR1,8.75706214689,31
FR2,6.21468926554,22
CDR2,18.6440677966,66
FR3,31.9209039548,113
CDR3,18.9265536723,67
FR4,2.25988700565,8
