,Count,Percentage,Productivity,Reason
0,316,45.142857142857146,Productive,-
1,1,0.14285714285714285,Unproductive,Stopcodon
2,208,29.714285714285715,Unproductive,Out-of-Frame
3,175,25.0,Unproductive,Both
