vert,total=316.0
x,y,raw
IGHV3,60.4430379747,191
IGHV2,11.7088607595,37
IGHV1,10.4430379747,33
IGHV4,8.54430379747,27
IGHV5,7.91139240506,25
IGHV6,0.949367088608,3
