length,count
512,8
513,12
514,6
515,9
516,12
517,16
518,9
519,14
520,18
521,20
522,15
523,9
524,25
525,32
526,15
527,11
528,17
529,19
530,16
531,24
532,16
533,31
534,16
535,25
536,17
537,21
538,15
539,11
540,20
541,25
542,5
543,20
544,11
545,19
546,12
547,11
548,15
549,13
550,9
551,6
552,8
553,13
554,3
555,3
556,2
558,1
560,1
561,1
564,1
567,2
499,1
500,1
504,4
506,1
507,6
508,5
509,6
510,2
511,14
