length,count
512,7
513,10
514,11
515,8
516,10
517,11
518,10
519,18
520,18
521,16
522,14
523,12
524,23
525,38
526,12
527,23
528,10
529,21
530,22
531,24
532,21
533,17
534,21
535,25
536,19
537,14
538,20
539,16
540,30
541,14
542,7
543,11
544,10
545,9
546,11
547,26
548,19
549,10
550,5
551,7
552,9
553,7
554,2
555,6
556,2
558,1
560,2
500,1
501,1
503,1
504,1
505,4
506,3
507,8
508,5
509,4
510,6
511,7
