hori,total=700.0
x,y,raw
0.142857142857,IGHJ6*04,1
0.285714285714,IGHJ3*01,2
0.714285714286,IGHJ4*01,5
7.85714285714,IGHJ3*02,55
12.4285714286,IGHJ6*03,87
15.1428571429,IGHJ4*02,106
18.0,IGHJ5*02,126
21.1428571429,IGHJ2*01,148
24.2857142857,IGHJ1*01,170
