vert,total=700.0
x,y,raw
IGHV3,60.0,420
IGHV1,15.2857142857,107
IGHV4,9.85714285714,69
IGHV2,9.14285714286,64
IGHV5,3.0,21
IGHV6,2.71428571429,19
