vert,total=700.0
x,y,raw
1,31.5714285714,221
2,24.0,168
0,16.0,112
3,13.1428571429,92
4,6.57142857143,46
5,4.85714285714,34
7,1.57142857143,11
6,1.28571428571,9
8,1.0,7
