vert,total=700.0
x,y,raw
IGHD1,23.2857142857,163
IGHD2,17.4285714286,122
IGHD3,16.2857142857,114
IGHD5,15.1428571429,106
IGHD6,12.0,84
N,8.42857142857,59
IGHD4,6.14285714286,43
IGHD7,1.28571428571,9
