from,to,value
IGHV3,IGHJ6,54
IGHV3,IGHJ5,64
IGHV3,IGHJ4,67
IGHV3,IGHJ3,28
IGHV3,IGHJ2,114
IGHV3,IGHJ1,93
IGHV2,IGHJ6,7
IGHV2,IGHJ5,15
IGHV2,IGHJ4,8
IGHV2,IGHJ3,6
IGHV2,IGHJ2,4
IGHV2,IGHJ1,24
IGHV1,IGHJ6,7
IGHV1,IGHJ5,25
IGHV1,IGHJ4,16
IGHV1,IGHJ3,19
IGHV1,IGHJ2,17
IGHV1,IGHJ1,23
IGHV6,IGHJ6,1
IGHV6,IGHJ5,8
IGHV6,IGHJ4,2
IGHV6,IGHJ3,1
IGHV6,IGHJ2,3
IGHV6,IGHJ1,4
IGHV5,IGHJ6,4
IGHV5,IGHJ5,1
IGHV5,IGHJ4,10
IGHV5,IGHJ3,1
IGHV5,IGHJ1,5
IGHV4,IGHJ6,15
IGHV4,IGHJ5,13
IGHV4,IGHJ4,8
IGHV4,IGHJ3,2
IGHV4,IGHJ2,10
IGHV4,IGHJ1,21
