hori,total=700.0
x,y,raw
0.285714285714,IGHD4/OR15-4a,2
0.428571428571,IGHD2/OR15-2a,3
0.428571428571,IGHD4-23,3
0.571428571429,IGHD5-24,4
0.714285714286,IGHD1-7,5
0.857142857143,IGHD1-14,6
1.14285714286,IGHD6-6,8
1.28571428571,IGHD7-27,9
1.28571428571,IGHD1/OR15-1a,9
1.42857142857,IGHD4-17,10
1.42857142857,IGHD1-20,10
1.85714285714,IGHD3-3,13
2.14285714286,IGHD3-22,15
2.42857142857,IGHD3-9,17
2.42857142857,IGHD6-25,17
3.14285714286,IGHD6-19,22
3.28571428571,IGHD2-15,23
3.85714285714,IGHD3-10,27
3.85714285714,IGHD2-21,27
4.0,IGHD4-11,28
4.0,IGHD2-2,28
5.28571428571,IGHD6-13,37
5.85714285714,IGHD2-8,41
6.0,IGHD3-16,42
6.71428571429,IGHD5-12,47
7.28571428571,IGHD1-26,51
7.85714285714,IGHD5-18,55
8.42857142857,N/A,59
11.7142857143,IGHD1-1,82
