vert,total=299.0
x,y,raw
1,34.7826086957,104
2,23.0769230769,69
0,16.7224080268,50
3,11.3712374582,34
5,5.6856187291,17
4,4.34782608696,13
8,2.00668896321,6
6,1.67224080268,5
7,0.334448160535,1
