vert,total=299.0
x,y,raw
IGHV3,65.8862876254,197
IGHV1,10.0334448161,30
IGHV4,8.69565217391,26
IGHV2,8.36120401338,25
IGHV5,4.68227424749,14
IGHV6,2.34113712375,7
