vert,total=308.0
x,y,raw
FR1,12.3376623377,38
CDR1,9.41558441558,29
FR2,8.44155844156,26
CDR2,16.5584415584,51
FR3,34.7402597403,107
CDR3,15.9090909091,49
FR4,2.5974025974,8
