hori,total=700.0
x,y,raw
0.571428571429,IGHV1-46,4
0.857142857143,IGHV3-53,6
1.0,IGHV4-28,7
1.0,IGHV2-5,7
1.14285714286,IGHV1-24,8
1.14285714286,IGHV4-39,8
1.14285714286,IGHV6-1,8
1.28571428571,IGHV3-66,9
1.42857142857,IGHV3-23,10
1.42857142857,IGHV1-2,10
1.42857142857,IGHV3-72,10
1.71428571429,IGHV3-64,12
1.85714285714,IGHV3-49,13
1.85714285714,IGHV1-3,13
1.85714285714,IGHV1-18,13
2.0,IGHV1-45,14
2.0,IGHV3-33,14
2.14285714286,IGHV3-20,15
2.14285714286,IGHV4-4,15
2.14285714286,IGHV3-15,15
2.42857142857,IGHV4-59,17
2.42857142857,IGHV3-73,17
2.42857142857,IGHV3-30,17
2.57142857143,IGHV4-31,18
2.71428571429,IGHV4-34,19
2.71428571429,IGHV1-69,19
2.71428571429,IGHV3-74,19
2.85714285714,IGHV1-58,20
3.28571428571,IGHV1-8,23
3.42857142857,IGHV3-7,24
3.57142857143,IGHV2-70,25
4.28571428571,IGHV3-48,30
4.57142857143,IGHV2-26,32
5.28571428571,IGHV3-21,37
5.85714285714,IGHV3-43,41
6.14285714286,IGHV3-13,43
6.28571428571,IGHV3-9,44
6.28571428571,IGHV5-51,44
