vert,total=700.0
x,y,raw
1,27.2857142857,191
2,26.5714285714,186
0,17.1428571429,120
3,15.0,105
4,6.42857142857,45
5,3.57142857143,25
6,2.0,14
7,1.57142857143,11
8,0.428571428571,3
