vert,total=700.0
x,y,raw
IGHD1,25.1428571429,176
IGHD3,18.4285714286,129
IGHD2,15.2857142857,107
IGHD5,15.1428571429,106
IGHD6,9.28571428571,65
N,7.85714285714,55
IGHD4,7.57142857143,53
IGHD7,1.28571428571,9
