x,y
IGHD1-1*01,14.7142857143
IGHD5-18*01,8.85714285714
N/A,7.85714285714
IGHD1-26*01,6.0
IGHD2-8*01,5.42857142857
IGHD5-12*01,5.28571428571
IGHD3-16*01,4.71428571429
IGHD4-11*01,4.28571428571
IGHD6-13*01,4.14285714286
IGHD3-9*01,3.85714285714
IGHD3-10*01,3.71428571429
IGHD2-2*01,3.57142857143
IGHD2-15*01,2.85714285714
IGHD3-3*01,2.71428571429
IGHD3-22*01,2.28571428571
IGHD6-25*01,2.0
IGHD6-19*01,1.85714285714
IGHD4-17*01,1.71428571429
IGHD2-21*02,1.57142857143
IGHD1-20*01,1.57142857143
IGHD7-27*01,1.28571428571
IGHD6-6*01,1.28571428571
IGHD1/OR15-1a*01,1.14285714286
IGHD5-24*01,1.0
IGHD1-14*01,1.0
IGHD4-23*01,1.0
IGHD3-16*02,1.0
IGHD1-7*01,0.714285714286
IGHD2-8*02,0.714285714286
IGHD2-2*02,0.571428571429
IGHD2-21*01,0.571428571429
IGHD4/OR15-4a*01,0.571428571429
IGHD3/OR15-3a*01,0.142857142857
