vert,total=700.0
x,y,raw
IGHV3,53.7142857143,376
IGHV1,17.7142857143,124
IGHV4,12.0,84
IGHV2,9.14285714286,64
IGHV5,6.28571428571,44
IGHV6,1.14285714286,8
