vert,total=700.0
x,y,raw
0,45.4285714286,318
2,21.2857142857,149
1,15.8571428571,111
3,11.2857142857,79
4,2.85714285714,20
5,2.42857142857,17
6,0.571428571429,4
7,0.285714285714,2
