hori,total=700.0
x,y,raw
0.142857142857,IGHD3/OR15-3a,1
0.571428571429,IGHD4/OR15-4a,4
0.714285714286,IGHD1-7,5
1.0,IGHD1-14,7
1.0,IGHD5-24,7
1.0,IGHD4-23,7
1.14285714286,IGHD1/OR15-1a,8
1.28571428571,IGHD7-27,9
1.28571428571,IGHD6-6,9
1.57142857143,IGHD1-20,11
1.71428571429,IGHD4-17,12
1.85714285714,IGHD6-19,13
2.0,IGHD6-25,14
2.14285714286,IGHD2-21,15
2.28571428571,IGHD3-22,16
2.71428571429,IGHD3-3,19
2.85714285714,IGHD2-15,20
3.71428571429,IGHD3-10,26
3.85714285714,IGHD3-9,27
4.14285714286,IGHD2-2,29
4.14285714286,IGHD6-13,29
4.28571428571,IGHD4-11,30
5.28571428571,IGHD5-12,37
5.71428571429,IGHD3-16,40
6.0,IGHD1-26,42
6.14285714286,IGHD2-8,43
7.85714285714,N/A,55
8.85714285714,IGHD5-18,62
14.7142857143,IGHD1-1,103
