,Count,Percentage,Productivity,Reason
0,308,44.0,Productive,-
1,2,0.2857142857142857,Unproductive,Stopcodon
2,241,34.42857142857143,Unproductive,Out-of-Frame
3,149,21.285714285714285,Unproductive,Both
