vert,total=308.0
x,y,raw
IGHV3,56.4935064935,174
IGHV1,13.6363636364,42
IGHV5,10.0649350649,31
IGHV2,9.74025974026,30
IGHV4,9.09090909091,28
IGHV6,0.974025974026,3
