vert,total=308.0
x,y,raw
1,34.7402597403,107
2,22.7272727273,70
0,15.9090909091,49
3,11.3636363636,35
4,5.84415584416,18
5,4.87012987013,15
6,3.24675324675,10
8,0.974025974026,3
7,0.324675324675,1
