vert,total=317.0
x,y,raw
FR1,14.1955835962,45
CDR1,9.46372239748,30
FR2,8.20189274448,26
CDR2,16.7192429022,53
FR3,34.0694006309,108
CDR3,16.0883280757,51
FR4,1.261829653,4
