vert,total=390.0
x,y,raw
IGHV3,51.5384615385,201
IGHV1,21.0256410256,82
IGHV4,14.358974359,56
IGHV2,8.71794871795,34
IGHV5,3.07692307692,12
IGHV6,1.28205128205,5
