vert,total=700.0
x,y,raw
0,47.1428571429,330
2,19.4285714286,136
1,15.7142857143,110
3,12.5714285714,88
4,3.0,21
5,1.28571428571,9
6,0.428571428571,3
7,0.428571428571,3
