vert,total=700.0
x,y,raw
1,30.4285714286,213
2,25.2857142857,177
0,16.2857142857,114
3,12.4285714286,87
4,6.85714285714,48
5,4.28571428571,30
7,2.14285714286,15
6,1.71428571429,12
9,0.428571428571,3
8,0.142857142857,1
