hori,total=700.0
x,y,raw
0.428571428571,IGHJ6*04,3
1.14285714286,IGHJ3*01,8
1.14285714286,IGHJ4*01,8
5.71428571429,IGHJ3*02,40
12.5714285714,IGHJ6*03,88
13.2857142857,IGHJ4*02,93
17.0,IGHJ5*02,119
23.1428571429,IGHJ2*01,162
25.5714285714,IGHJ1*01,179
