hori,total=700.0
x,y,raw
0.428571428571,IGHV4-28,3
0.428571428571,IGHV1-46,3
1.0,IGHV1-45,7
1.14285714286,IGHV1-18,8
1.14285714286,IGHV1-24,8
1.14285714286,IGHV4-31,8
1.28571428571,IGHV1-2,9
1.28571428571,IGHV3-53,9
1.42857142857,IGHV4-34,10
1.42857142857,IGHV6-1,10
1.57142857143,IGHV3-66,11
1.57142857143,IGHV4-39,11
1.71428571429,IGHV3-20,12
1.71428571429,IGHV1-3,12
1.71428571429,IGHV3-72,12
1.71428571429,IGHV3-33,12
1.85714285714,IGHV3-64,13
2.0,IGHV1-69,14
2.14285714286,IGHV3-23,15
2.14285714286,IGHV4-59,15
2.14285714286,IGHV2-5,15
2.57142857143,IGHV3-74,18
2.71428571429,IGHV3-73,19
2.85714285714,IGHV3-30,20
2.85714285714,IGHV4-4,20
3.14285714286,IGHV3-49,22
3.57142857143,IGHV1-8,25
3.71428571429,IGHV3-15,26
3.85714285714,IGHV2-70,27
3.85714285714,IGHV3-7,27
4.0,IGHV1-58,28
4.28571428571,IGHV5-51,30
4.42857142857,IGHV3-48,31
4.85714285714,IGHV3-21,34
4.85714285714,IGHV2-26,34
5.28571428571,IGHV3-43,37
6.0,IGHV3-13,42
6.14285714286,IGHV3-9,43
