from,to,value
IGHV3,IGHJ6,48
IGHV3,IGHJ5,54
IGHV3,IGHJ4,62
IGHV3,IGHJ3,26
IGHV3,IGHJ2,120
IGHV3,IGHJ1,93
IGHV2,IGHJ6,8
IGHV2,IGHJ5,19
IGHV2,IGHJ4,7
IGHV2,IGHJ3,6
IGHV2,IGHJ2,4
IGHV2,IGHJ1,32
IGHV1,IGHJ6,15
IGHV1,IGHJ5,28
IGHV1,IGHJ4,7
IGHV1,IGHJ3,14
IGHV1,IGHJ2,19
IGHV1,IGHJ1,31
IGHV6,IGHJ6,2
IGHV6,IGHJ5,3
IGHV6,IGHJ4,1
IGHV6,IGHJ2,3
IGHV6,IGHJ1,1
IGHV5,IGHJ6,4
IGHV5,IGHJ5,5
IGHV5,IGHJ4,13
IGHV5,IGHJ3,1
IGHV5,IGHJ1,7
IGHV4,IGHJ6,14
IGHV4,IGHJ5,10
IGHV4,IGHJ4,11
IGHV4,IGHJ3,1
IGHV4,IGHJ2,16
IGHV4,IGHJ1,15
