vert,total=700.0
x,y,raw
IGHV3,57.5714285714,403
IGHV1,16.2857142857,114
IGHV2,10.8571428571,76
IGHV4,9.57142857143,67
IGHV5,4.28571428571,30
IGHV6,1.42857142857,10
