vert,total=700.0
x,y,raw
IGHD1,23.2857142857,163
IGHD3,17.7142857143,124
IGHD2,16.0,112
IGHD5,13.8571428571,97
IGHD6,11.8571428571,83
IGHD4,9.42857142857,66
N,7.14285714286,50
IGHD7,0.714285714286,5
